Log,Question,Mode,Correlation,P-Value,significance
Agreement__Nothing,AverageResponses,Baseline,-0.21059400326001507,0.2246261033411234,-
Agreement__Nothing,AverageResponses,Delta_Social,0.35966803297365707,0.15619901456534224,-
Agreement__Nothing,AverageResponses,Delta_Task,-0.35350407705783715,0.1501295874662746,-
Agreement__Nothing,AverageResponses,Social,0.4025005210144972,0.1092096089079923,-
Agreement__Nothing,AverageResponses,Task,-0.49347651147545873,0.03742012988782456,*
Agreement__Nothing,I enjoyed teaching Blueberry how to write in a group,Baseline,-0.20873668019507322,0.2288350910840286,-
Agreement__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Social",-0.11872989511059737,0.6499300935109054,-
Agreement__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Task",-0.011912643244191733,0.9625817957216307,-
Agreement__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Social,0.3048127913248821,0.23419602005804524,-
Agreement__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Task,-0.1270681946047118,0.6153534560645211,-
Agreement__Nothing,I enjoyed teaching Blueberry how to write in a group,Social,0.3146433232652822,0.21868491299316659,-
Agreement__Nothing,I enjoyed teaching Blueberry how to write in a group,Task,-0.32147296520657564,0.19331467760836715,-
Agreement__Nothing,I enjoyed writing on the tablet,Baseline,-0.17950520342359833,0.3021609596015827,-
Agreement__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Social",0.19506489808627492,0.45309554273747077,-
Agreement__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Task",-0.3105295017040594,0.2097798339444792,-
Agreement__Nothing,I enjoyed writing on the tablet,Delta_Social,0.08074689918749241,0.758027408588215,-
Agreement__Nothing,I enjoyed writing on the tablet,Delta_Task,-0.10350983390135313,0.6827389048814811,-
Agreement__Nothing,I enjoyed writing on the tablet,Social,0.054326686710022075,0.8359434856075326,-
Agreement__Nothing,I enjoyed writing on the tablet,Task,-0.07100716024967263,0.7794902772021626,-
Agreement__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Baseline,-0.21853246615782776,0.20723229509635033,-
Agreement__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Social",-0.0018666497424523914,0.9943270058056988,-
Agreement__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Task",0.09759000729485331,0.700062075969013,-
Agreement__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Social,0.37169726468088604,0.14181816354025273,-
Agreement__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Task,0.2927700218845599,0.23839778379182888,-
Agreement__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Social,0.3028008719530965,0.23745433486621026,-
Agreement__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Task,0.005740588664403135,0.9819639415405124,-
Agreement__Nothing,I found it easy to teach Blueberry how to write with a group of friends,Baseline,-0.2031065323880132,0.2419196944177203,-
