Log,Question,Mode,Correlation,P-Value,significance
Accepted_or_Rejected__Nothing,AverageResponses,Baseline,0.19559228698933184,0.26015130704213346,-
Accepted_or_Rejected__Nothing,AverageResponses,Delta_Social,0.7242325433372329,0.0010102299237177278,**
Accepted_or_Rejected__Nothing,AverageResponses,Delta_Task,0.7024628894108205,0.0011513895833343856,**
Accepted_or_Rejected__Nothing,AverageResponses,Social,0.6326971000800347,0.006416023737731751,**
Accepted_or_Rejected__Nothing,AverageResponses,Task,0.6604177583603967,0.0028529067061396373,**
Accepted_or_Rejected__Nothing,I enjoyed teaching Blueberry how to write in a group,Baseline,0.08896042154121497,0.6113181461350795,-
Accepted_or_Rejected__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Social",0.6500144103866492,0.0047327040936539,**
Accepted_or_Rejected__Nothing,I enjoyed teaching Blueberry how to write in a group,"Delta Logs, Delta_Task",0.06945745773728994,0.7841939155086045,-
Accepted_or_Rejected__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Social,0.6035191558579743,0.01031405069202597,*
Accepted_or_Rejected__Nothing,I enjoyed teaching Blueberry how to write in a group,Delta_Task,0.0388827610423048,0.8782566901447321,-
Accepted_or_Rejected__Nothing,I enjoyed teaching Blueberry how to write in a group,Social,0.43362657373336305,0.0820479160261865,-
Accepted_or_Rejected__Nothing,I enjoyed teaching Blueberry how to write in a group,Task,0.21627209630135927,0.388709496710657,-
Accepted_or_Rejected__Nothing,I enjoyed writing on the tablet,Baseline,0.1336332055168621,0.444083983183323,-
Accepted_or_Rejected__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Social",0.38673940466404655,0.12515212201608808,-
Accepted_or_Rejected__Nothing,I enjoyed writing on the tablet,"Delta Logs, Delta_Task",0.11956547365199773,0.636529271242301,-
Accepted_or_Rejected__Nothing,I enjoyed writing on the tablet,Delta_Social,0.17666631333439334,0.49758349626266474,-
Accepted_or_Rejected__Nothing,I enjoyed writing on the tablet,Delta_Task,0.034358153126353215,0.8923403265980165,-
Accepted_or_Rejected__Nothing,I enjoyed writing on the tablet,Social,0.10301327744925143,0.6940003274873203,-
Accepted_or_Rejected__Nothing,I enjoyed writing on the tablet,Task,0.23569498597116972,0.3464289478502999,-
Accepted_or_Rejected__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Baseline,0.013395023513989357,0.939123675234343,-
Accepted_or_Rejected__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Social",0.3830385491170221,0.1291190417597632,-
Accepted_or_Rejected__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,"Delta Logs, Delta_Task",0.43480572282056085,0.07135233611563628,-
Accepted_or_Rejected__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Social,0.35612209477406653,0.16062037023754427,-
Accepted_or_Rejected__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Delta_Task,0.2267522419371079,0.36555570315751873,-
Accepted_or_Rejected__Nothing,I enjoyed writing with Blueberry and a group of friends on the tablet,Social,0.20316626033455232,0.43416762450421664,-
